Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"1011",27.86104,40.33601,"Balıkesir","Bandırma",14.5143804935,14.5464434619,7.42380374701,58.54315545718728,59.35944969994466,66.6530300943,67.0112887561
"3407",29.00951,41.0582,"İstanbul","Beşiktaş",21.0294051403,28.7085184918,10.0938065671,65.7245384120486,7.544655744263427,67.9191722145,68.2707869759
"3426",29.069695,40.967905,"İstanbul","Kadıköy",24.6630786843,25.6428156232,11.1249721205,69.61157996729284,69.66532748438127,70.3757075304,70.7151087845
"5916",27.917908,41.44368,"Tekirdağ","Saray",27.6773327243,29.293205372,9.22783737462,61.10644341809798,61.62760479923082,70.4252649162,70.764428483
"3427",29.067068,41.00755,"İstanbul","Üsküdar",19.4441841263,21.7261012102,17.0516307793,69.74137345879572,31.097195262242668,71.0248141479,71.3611282474
"5911",27.49156,41.17413,"Tekirdağ","Muratlı",21.3539322405,34.6770903972,10.4467353397,66.81421789804139,67.70916635683672,72.1794352805,72.5103942715
"3425",29.027277,41.134497,"İstanbul","Sarıyer",32.7932393491,48.4303577832,14.0143497678,69.2249668748731,64.67463343493958,72.4420311803,72.7717959207
"1633",28.36262,40.21397,"Bursa","Karacabey",12.4124083273,33.0692209293,9.92676027068,62.8411034844102,62.90063652381934,72.5261405303,72.855524569
"3438",29.115607,40.979632,"İstanbul","Ataşehir",28.1341235995,29.0973362383,18.8429983984,73.56521808064186,73.61607908069865,74.3956975503,74.7168402302
"7707",29.0788,40.6381,"Yalova","Çınarcık",38.7709705587,42.0543429752,15.8389065883,70.65988923254378,70.7128399537074,74.4901411487,74.8108784091
"7715",28.97072,40.46296,"Yalova","Armutlu",53.8567627344,46.6363284395,20.1497987085,69.2317828579945,69.28582499804548,75.5115654988,75.8279824609
"3405",29.15668,40.91111,"İstanbul","Kartal",17.1115417769,21.7142458385,8.05427236732,76.42760635231821,76.4765637349652,76.8977828816,77.2085190384
"3436",29.098545,41.125952,"İstanbul","Beykoz",51.9335537993,49.2761848627,25.0383260549,74.70536694381006,53.5023410929179,77.5439342249,77.8520913982
"3430",29.165163,41.015572,"İstanbul","Ümraniye",60.6995616053,46.7000003149,16.4430188363,78.04025807945719,51.66803698291182,79.2504501863,79.5519971762
"1618",28.92815,40.35095,"Bursa","Mudanya",20.7504572441,19.1208078235,8.34013089132,73.45111047452292,73.50205043333045,80.8416740515,81.1373074698
"1637",29.094628,40.47632,"Bursa","Gemlik",30.822500085,34.5466186164,23.9347937247,77.83811668877307,77.88618746362114,83.4371488273,83.7236179607
"3437",29.23047,41.000652,"İstanbul","Sancaktepe",16.1848669211,14.8474912954,13.603417301,83.3810355505214,83.42591250589109,84.2979480459,84.5815017882
"3417",29.25627,40.95471,"İstanbul","Sultanbeyli",12.6277332848,11.0757538587,6.13140802893,85.15965732738229,85.20359748320759,85.6810609998,85.9600524317
"KURT",29.2092,40.5905,"Yalova","Yalova Merkez",11.9459566536,12.9904940996,6.65598384261,82.63209040548576,82.67737388635209,86.6456044397,86.9215000372
"1638",29.0333,40.361147,"Bursa","Gemlik",10.8868823119,7.90484902315,5.16112408316,79.83088586529063,79.8777573921573,86.6666384374,86.9424672875
"5914",27.24526,40.66825,"Tekirdağ","Şarköy",13.0804854813,17.4121747312,7.15301935061,85.39886182285508,86.11773361746944,86.8090329491,87.0844107838
"1653",29.098645,40.415365,"Bursa","Gemlik",28.4872907065,20.6771029682,14.8346673377,81.2748467312797,81.32088599588846,87.4039734861,87.6774827487
"7708",29.24725,40.65756,"Yalova","Yalova Merkez",4.29907412555,4.72055272261,3.64644731058,84.24604740983386,84.29046382683666,87.4105224962,87.6840113308
"3905",27.75977,41.57237,"Kırklareli","Vize",35.1208383911,32.1161704941,16.8759891267,79.87822238990942,80.43375117520432,88.9827346989,89.2514060085
"7710",29.2668,40.58997,"Yalova","Yalova Merkez",15.3016892306,22.3170147622,9.07476855448,87.3723278123833,87.41515575298058,91.2349997848,91.4970577982
"1648",28.980285,40.255225,"Bursa","Osmangazi",18.9105534557,19.1874535424,6.99128322373,83.85154237779999,83.8961676544243,91.5783157442,91.839394132
"1658",29.16722,40.424085,"Bursa","Gemlik",45.9271534133,31.6302660946,16.8276826123,85.93156456130743,85.97511021172018,91.7131812585,91.9738768159
"1630",29.12207,40.36298,"Bursa","Gemlik",47.3780197685,32.4125645855,14.0784924068,85.9794085492608,86.02292998058125,92.4255493573,92.6842412388
